CHIP,INDEX,ECHELLE,WAVE
GREEN,13,124,4964.5733
GREEN,13,124,4963.4477
GREEN,13,124,4963.11055
GREEN,13,124,4960.1071
GREEN,13,124,4959.4821
GREEN,13,124,4958.0202
GREEN,13,124,4956.0436
GREEN,13,124,4955.9396
GREEN,13,124,4955.3106
GREEN,13,124,4952.00789
GREEN,13,124,4951.6323
GREEN,13,124,4948.9559
GREEN,13,124,4948.8016
GREEN,13,124,4948.04443
GREEN,13,124,4946.83879
GREEN,13,124,4944.44368
GREEN,13,124,4942.7924
GREEN,13,124,4941.02079
GREEN,13,124,4940.6488
GREEN,13,124,4939.8829
GREEN,13,124,4939.20775
GREEN,13,124,4938.15308
GREEN,13,124,4935.2294
GREEN,13,124,4931.361
GREEN,13,124,4930.7498
GREEN,13,124,4930.462
GREEN,13,124,4929.15592
GREEN,13,124,4928.6742
GREEN,13,124,4927.3255
GREEN,13,124,4927.1646
GREEN,13,124,4926.8007
GREEN,13,124,4925.7965
GREEN,13,124,4924.3183
GREEN,14,123,5023.5748
GREEN,14,123,5023.40567
GREEN,14,123,5022.6547
GREEN,14,123,5021.20618
GREEN,14,123,5020.7242
GREEN,14,123,5019.453
GREEN,14,123,5019.2753
GREEN,14,123,5017.9347
GREEN,14,123,5017.28851
GREEN,14,123,5016.1526
GREEN,14,123,5012.875
GREEN,14,123,5012.3422
GREEN,14,123,5011.8147
GREEN,14,123,5005.52401
GREEN,14,123,5005.3957
GREEN,14,123,5005.2532
GREEN,14,123,5004.99376
GREEN,14,123,5003.49241
GREEN,14,123,5001.6406
GREEN,14,123,5001.3347
GREEN,14,123,5000.6341
GREEN,14,123,4999.213
GREEN,14,123,4995.4989
GREEN,14,123,4995.14202
GREEN,14,123,4993.5182
GREEN,14,123,4990.70058
GREEN,14,123,4988.5386
GREEN,14,123,4987.3398
GREEN,14,123,4986.76324
GREEN,14,123,4983.87761
GREEN,14,123,4982.3404
GREEN,14,123,4982.1462
GREEN,14,123,4981.57549
GREEN,14,123,4978.7794
GREEN,14,123,4977.337
GREEN,14,123,4976.478
GREEN,14,123,4974.7805
GREEN,14,123,4973.5643
GREEN,14,123,4971.46562
GREEN,14,123,4971.2886
GREEN,14,123,4970.1412
GREEN,14,123,4967.11723
GREEN,14,123,4965.5046
GREEN,14,123,4965.1497
GREEN,14,123,4964.5733
GREEN,14,123,4964.3485
GREEN,15,122,5064.92721
GREEN,15,122,5064.344
GREEN,15,122,5063.06746
GREEN,15,122,5062.6345
GREEN,15,122,5061.27169
GREEN,15,122,5059.9715
GREEN,15,122,5059.77114
GREEN,15,122,5059.39667
GREEN,15,122,5056.75683
GREEN,15,122,5056.6287
GREEN,15,122,5053.9953
GREEN,15,122,5053.2972
GREEN,15,122,5052.4926
GREEN,15,122,5052.1925
GREEN,15,122,5051.20411
GREEN,15,122,5048.8362
GREEN,15,122,5048.45074
GREEN,15,122,5048.0442
GREEN,15,122,5046.65538
GREEN,15,122,5046.12614
GREEN,15,122,5044.9212
GREEN,15,122,5042.52826
GREEN,15,122,5042.0859
GREEN,15,122,5040.93171
GREEN,15,122,5040.63551
GREEN,15,122,5039.7065
GREEN,15,122,5038.1328
GREEN,15,122,5033.2175
GREEN,15,122,5031.29442
GREEN,15,122,5031.0325
GREEN,15,122,5030.4152
GREEN,15,122,5025.10933
GREEN,15,122,5023.5748
GREEN,15,122,5023.40567
GREEN,15,122,5022.6547
GREEN,15,122,5021.20618
GREEN,15,122,5020.7242
GREEN,15,122,5019.453
GREEN,15,122,5017.9347
GREEN,15,122,5017.28851
GREEN,15,122,5016.1526
GREEN,15,122,5012.875
GREEN,15,122,5012.3422
GREEN,15,122,5011.8147
GREEN,15,122,5005.52401
GREEN,15,122,5005.3957
GREEN,15,122,5005.2532
GREEN,15,122,5004.99376
GREEN,16,121,5102.7671
GREEN,16,121,5102.55127
GREEN,16,121,5102.04265
GREEN,16,121,5099.46444
GREEN,16,121,5097.9052
GREEN,16,121,5096.4848
GREEN,16,121,5095.5496
GREEN,16,121,5095.5247
GREEN,16,121,5092.1698
GREEN,16,121,5091.47
GREEN,16,121,5086.41091
GREEN,16,121,5084.0395
GREEN,16,121,5082.86253
GREEN,16,121,5081.3233
GREEN,16,121,5076.882
GREEN,16,121,5076.0621
GREEN,16,121,5072.1931
GREEN,16,121,5070.7526
GREEN,16,121,5070.5084
GREEN,16,121,5070.2421
GREEN,16,121,5069.38666
GREEN,16,121,5068.55055
GREEN,16,121,5068.3722
GREEN,16,121,5068.18985
GREEN,16,121,5067.548
GREEN,16,121,5066.60465
GREEN,16,121,5066.3574
GREEN,16,121,5066.014
GREEN,16,121,5065.7456
GREEN,16,121,5065.41071
GREEN,16,121,5064.92721
GREEN,16,121,5064.344
GREEN,16,121,5063.06746
GREEN,16,121,5062.6345
GREEN,16,121,5061.27169
GREEN,16,121,5060.0023
GREEN,16,121,5059.9715
GREEN,16,121,5059.77114
GREEN,16,121,5059.39667
GREEN,16,121,5056.75683
GREEN,16,121,5056.6287
GREEN,16,121,5053.9953
GREEN,16,121,5053.2972
GREEN,16,121,5052.4926
GREEN,16,121,5052.1925
GREEN,16,121,5051.3913
GREEN,16,121,5051.20411
GREEN,16,121,5048.8362
GREEN,16,121,5048.45074
GREEN,16,121,5048.0442
GREEN,16,121,5046.65538
GREEN,16,121,5046.12614
GREEN,17,120,5147.4899
GREEN,17,120,5146.472
GREEN,17,120,5145.34952
GREEN,17,120,5145.249
GREEN,17,120,5144.70022
GREEN,17,120,5138.90448
GREEN,17,120,5137.5522
GREEN,17,120,5136.17656
GREEN,17,120,5134.5354
GREEN,17,120,5134.1714
GREEN,17,120,5133.4222
GREEN,17,120,5132.5018
GREEN,17,120,5131.6632
GREEN,17,120,5129.91878
GREEN,17,120,5127.37855
GREEN,17,120,5126.91764
GREEN,17,120,5123.92711
GREEN,17,120,5118.7187
GREEN,17,120,5116.47003
GREEN,17,120,5114.8065
GREEN,17,120,5112.70257
GREEN,17,120,5112.4864
GREEN,17,120,5112.2888
GREEN,17,120,5111.9769
GREEN,17,120,5111.157
GREEN,17,120,5108.0917
GREEN,17,120,5102.7671
GREEN,17,120,5102.55127
GREEN,17,120,5102.04265
GREEN,17,120,5100.3524
GREEN,17,120,5097.9052
GREEN,17,120,5096.4848
GREEN,17,120,5096.1099
GREEN,17,120,5095.5247
GREEN,17,120,5092.1698
GREEN,17,120,5091.47
GREEN,18,119,5192.3176
GREEN,18,119,5189.8091
GREEN,18,119,5188.9121
GREEN,18,119,5188.78201
GREEN,18,119,5188.6128
GREEN,18,119,5187.85755
GREEN,18,119,5186.6489
GREEN,18,119,5186.1771
GREEN,18,119,5185.89707
GREEN,18,119,5185.4336
GREEN,18,119,5184.784
GREEN,18,119,5184.5332
GREEN,18,119,5183.9705
GREEN,18,119,5182.1639
GREEN,18,119,5179.9219
GREEN,18,119,5179.7783
GREEN,18,119,5178.40296
GREEN,18,119,5177.84559
GREEN,18,119,5177.3537
GREEN,18,119,5176.76614
GREEN,18,119,5176.24026
GREEN,18,119,5175.8113
GREEN,18,119,5175.6836
GREEN,18,119,5175.11254
GREEN,18,119,5173.9186
GREEN,18,119,5171.6635
GREEN,18,119,5170.36205
GREEN,18,119,5170.02628
GREEN,18,119,5169.8299
GREEN,18,119,5168.0949
GREEN,18,119,5165.8396
GREEN,18,119,5165.5483
GREEN,18,119,5164.89669
GREEN,18,119,5164.6724
GREEN,18,119,5162.97735
GREEN,18,119,5162.13072
GREEN,18,119,5161.0573
GREEN,18,119,5158.8624
GREEN,18,119,5156.3334
GREEN,18,119,5155.67881
GREEN,18,119,5153.2942
GREEN,18,119,5153.04697
GREEN,18,119,5152.1355
GREEN,18,119,5151.2434
GREEN,18,119,5150.6409
GREEN,18,119,5149.6456
GREEN,18,119,5148.5682
GREEN,18,119,5147.4899
GREEN,18,119,5146.472
GREEN,18,119,5145.34952
GREEN,18,119,5144.70022
GREEN,18,119,5138.90448
GREEN,18,119,5137.5522
GREEN,18,119,5136.17656
GREEN,18,119,5134.5354
GREEN,18,119,5134.1714
GREEN,18,119,5133.4222
GREEN,18,119,5132.5018
GREEN,18,119,5131.6632
GREEN,19,118,5235.5643
GREEN,19,118,5234.68206
GREEN,19,118,5232.61585
GREEN,19,118,5230.4504
GREEN,19,118,5229.68003
GREEN,19,118,5227.9802
GREEN,19,118,5222.37992
GREEN,19,118,5222.1602
GREEN,19,118,5221.7604
